drel,Campaign,d13C_avg,d13C_sd
0,ambient,-5.558004590267375,4.9231698458022946
1,ambient,-16.8284416914628,2.8895398665254755
2,ambient,-15.544277266220586,3.2358022606713135
3,ambient,-15.10531558455904,2.3213633508460605
4,ambient,-13.044998520336206,2.1969242849771615
5,ambient,-13.072461593516401,2.3273438792551335
6,ambient,-13.534988327613656,2.4229825626149557
7,ambient,-13.141577561486708,2.085473938683817
8,ambient,-12.984948327399065,2.4587725623973964
9,ambient,-14.353145235334354,2.061684825011506
10,ambient,-15.169373218843019,2.734649814293109
11,ambient,-14.745129007141383,3.077885841915904
12,ambient,-15.307837607672875,1.78722028480045
13,ambient,-15.45582197870487,2.1111886909157813
14,ambient,-15.602507070987226,2.5726863139362526
15,ambient,-15.732158810704512,2.352007915213919
16,ambient,-14.19637566030199,2.3123343422244065
17,ambient,-15.685732822539453,1.9735810372067497
18,ambient,-18.78026591371778,2.760905014902026
19,ambient,-18.093082564639523,2.429239621251119
20,ambient,-17.591317329623053,2.153217714837233
21,ambient,-17.54238822872397,2.0813203016753747
22,ambient,-17.863893917748005,1.9331117364883121
23,ambient,-18.113154014470204,2.1738241204882662
24,ambient,-17.689868943845536,1.9018344222706387
25,ambient,-18.66167407459375,2.1407260404078023
26,ambient,-18.10602135965472,3.023192655372941
27,ambient,-21.03128213947529,2.403106633190556
28,ambient,-20.500695417625593,1.6856571090625616
29,ambient,-20.97698310247881,1.7472797942476854
30,ambient,-20.851822480652853,2.214009726873511
32,ambient,-20.174737108018842,1.9827980901172908
-12,ambient,-22.970366054839783,NA
-11,ambient,-22.09375014257903,3.6584797350403524
-10,ambient,-25.646348853158287,2.7495600476563915
-9,ambient,-24.847563545871978,1.612929721235717
-8,ambient,-24.93134343818684,2.9269535542848195
-7,ambient,-24.716800269851813,2.235261268213526
-6,ambient,-24.200265909892853,1.0579193873251476
-5,ambient,-24.027376303983022,2.8174356395441515
-4,ambient,-22.07230652464342,2.535919801530472
-3,ambient,-25.202492379905685,3.839930939417301
-2,ambient,-23.412323560639166,2.916070946782673
-1,ambient,-23.36441563181382,2.3821993055453032
0,ambient,-20.235696865218603,4.749233905358636
0,drought,3.8332997768374533,22.859049953014765
1,drought,1.7164631967419672,7.455553154234994
2,drought,-9.990881034292684,4.6269401762686755
3,drought,-13.223421655458084,3.991152750929217
4,drought,-16.760452493766223,5.958361192034448
5,drought,-14.647468467900865,4.673681681463546
6,drought,-15.547619576630186,3.404339563392117
7,drought,-16.075464465745096,2.3347277163202937
8,drought,-17.961634551582367,4.888456310729476
9,drought,-16.68909859963833,5.95987720574399
10,drought,-16.076150390888444,2.7785823809257097
11,drought,-17.53067028954513,5.964858717904328
12,drought,-18.12932362925741,3.36634992707613
13,drought,-17.86323312603413,3.7837623538477727
14,drought,-17.212789535160105,3.871112570981126
15,drought,-16.610241990636002,5.203481356881958
16,drought,-16.7002399247015,4.0223199309690525
17,drought,-17.684311671965194,4.052373885766434
18,drought,-17.797701346997922,4.282464210671838
19,drought,-19.358872134030538,3.3864983282631247
20,drought,-21.535955200895156,2.8840704758566997
21,drought,-20.41238508967789,2.2181405276704638
22,drought,-20.525094431906346,2.2089290594632818
23,drought,-20.43396094477706,3.057011006536426
24,drought,-19.322108206644245,2.470972254673202
25,drought,-20.532850545923974,3.0290976754150036
26,drought,-19.65283284817022,3.2565355921675994
27,drought,-21.30007149425523,1.7086947512015656
28,drought,-21.95799666920791,3.021078013113479
29,drought,-21.7052835122225,2.9527058241883846
30,drought,-21.264100327834036,2.651059481572662
31,drought,-21.233825577041635,2.5836974335686587
32,drought,-22.60143361707219,2.1090667897882076
33,drought,-22.50947124457493,1.2852684260119174
34,drought,-21.375458869555466,2.5065725286466343
35,drought,-21.53968945783633,2.075295224123376
36,drought,-22.282564442768813,2.564262596711542
37,drought,-22.400068708225117,2.9049610912764265
38,drought,-22.648939950734867,3.3641313400381634
39,drought,-21.93418820686645,2.6614292243526783
40,drought,-22.413683360817977,3.201893326396692
-4,drought,-20.510395349669245,4.182065299032303
-3,drought,-21.14642768125554,3.099449730926004
-2,drought,-20.456355007884486,3.0717372610644107
-1,drought,-22.136410726652237,2.1964637117755927
0,drought,-21.027341861560387,7.4764065413064404
